condition,label_mode,n,accuracy,mean_set_f1,unknown_rate,coverage,max_token_rate,max_token_count,protocol_violation_rate,protocol_violation_count,duplicate_output_rate,false_metadata_coverage,false_adoption_rate,gold_retained_any_rate,gold_retained_all_rate
clean,natural,28,0.5,0.8247076023391813,0.07142857142857142,0.9285714285714286,0.0,0,0.0,0,0.0,,,0.8928571428571429,0.5714285714285714
clean,anonymized,28,0.4642857142857143,0.7524943310657596,0.07142857142857142,0.9285714285714286,0.03571428571428571,1,0.03571428571428571,1,0.10714285714285714,,,0.8928571428571429,0.5
entity_substitution,natural,28,0.0,0.4014612423916935,0.14285714285714285,0.8571428571428572,0.0,0,0.0,0,0.0,1.0,0.8214285714285714,0.6071428571428571,0.0
entity_substitution,anonymized,28,0.0,0.39548319327731096,0.07142857142857142,0.9285714285714286,0.03571428571428571,1,0.03571428571428571,1,0.07142857142857142,1.0,0.7857142857142857,0.6785714285714286,0.0
relation_substitution,natural,28,0.07142857142857142,0.5034077092375412,0.32142857142857145,0.6785714285714286,0.0,0,0.03571428571428571,1,0.0,,,0.6428571428571429,0.07142857142857142
relation_substitution,anonymized,28,0.03571428571428571,0.4921331994336196,0.2857142857142857,0.7142857142857143,0.03571428571428571,1,0.03571428571428571,1,0.03571428571428571,,,0.6785714285714286,0.03571428571428571
contradiction,natural,28,0.03571428571428571,0.5572543929852644,0.17857142857142858,0.8214285714285714,0.0,0,0.0,0,0.03571428571428571,1.0,0.6071428571428571,0.7857142857142857,0.4642857142857143
contradiction,anonymized,28,0.07142857142857142,0.6589381207028265,0.03571428571428571,0.9642857142857143,0.03571428571428571,1,0.03571428571428571,1,0.07142857142857142,1.0,0.75,0.9285714285714286,0.5357142857142857
rerouting,natural,28,0.35714285714285715,0.6868163932239562,0.10714285714285714,0.8928571428571429,0.0,0,0.03571428571428571,1,0.0,,,0.8571428571428571,0.42857142857142855
rerouting,anonymized,28,0.42857142857142855,0.6647108843537415,0.07142857142857142,0.9285714285714286,0.03571428571428571,1,0.03571428571428571,1,0.10714285714285714,,,0.8214285714285714,0.4642857142857143
