condition,label_mode,hop,n,delta_accuracy,ci95_low,ci95_high
entity_substitution,natural,2,14,0.7142857142857143,0.5,0.9285714285714286
entity_substitution,natural,3,14,0.2857142857142857,0.07142857142857142,0.5
entity_substitution,anonymized,2,14,0.7142857142857143,0.42857142857142855,0.9285714285714286
entity_substitution,anonymized,3,14,0.21428571428571427,0.0,0.42857142857142855
relation_substitution,natural,2,14,0.7142857142857143,0.5,0.9285714285714286
relation_substitution,natural,3,14,0.14285714285714285,0.0,0.35714285714285715
relation_substitution,anonymized,2,14,0.7142857142857143,0.5,0.9285714285714286
relation_substitution,anonymized,3,14,0.14285714285714285,0.0,0.35714285714285715
contradiction,natural,2,14,0.7142857142857143,0.5,0.9285714285714286
contradiction,natural,3,14,0.21428571428571427,0.0,0.42857142857142855
contradiction,anonymized,2,14,0.6428571428571429,0.35714285714285715,0.8571428571428571
contradiction,anonymized,3,14,0.14285714285714285,-0.14285714285714285,0.42857142857142855
rerouting,natural,2,14,0.2857142857142857,0.07142857142857142,0.5
rerouting,natural,3,14,0.0,-0.21428571428571427,0.21428571428571427
rerouting,anonymized,2,14,0.14285714285714285,-0.21428571428571427,0.5
rerouting,anonymized,3,14,-0.07142857142857142,-0.21428571428571427,0.0
